CustomerID,Recency,Frequency,Monetary,R,F,M,Seg
12688,114,1,4873.81,2,1,5,Lost high value
12689,26,2,1247.61,4,2,4,New customer
12690,206,1,389.01,1,1,2,Normal
12691,28,6,1035.8,4,5,4,Champion
12693,127,4,830.9599999999999,2,4,3,Normal
12694,70,2,869.67,3,2,3,Normal
12695,7,4,582.1,5,4,3,Loyal
12697,29,3,939.02,4,3,4,Loyal
12700,8,4,4867.99,5,4,5,Champion
12701,80,2,797.71,2,2,3,Normal
12702,20,1,219.0,4,1,1,New customer
12703,71,1,274.7,3,1,2,Normal
12704,7,8,2220.84,5,5,5,Champion
12705,15,9,6814.24,4,5,5,Champion
12707,292,1,603.4200000000001,1,1,3,Normal
12708,30,10,2616.3199999999997,4,5,5,Champion
12709,15,15,9294.1,4,5,5,Champion
12710,97,3,1130.57,2,3,4,At risk
12712,29,13,4241.63,4,5,5,Champion
12713,1,1,848.55,5,1,3,New customer
12714,9,5,4708.86,5,4,5,Champion
12715,106,1,353.86,2,1,2,Normal
12716,4,2,1053.49,5,2,4,New customer
12717,151,2,980.98,2,2,4,At risk
12718,71,1,238.25,3,1,1,Normal
12719,5,2,608.1,5,2,3,New customer
12720,3,25,5713.28,5,5,5,Champion
12721,32,6,2628.98,4,5,5,Champion
12722,85,4,904.33,2,4,3,Normal
12723,4,5,725.0699999999999,5,4,3,Loyal
12724,5,4,1031.41,5,4,4,Champion
12725,371,1,427.8,1,1,2,Normal
12726,28,7,2609.1,4,5,5,Champion
12727,11,7,3947.7,5,5,5,Champion
12728,71,4,836.33,3,4,3,Loyal
12729,114,1,453.01,2,1,2,Normal
12731,24,12,18793.41,4,5,5,Champion
12732,180,1,236.26,1,1,1,Normal
12733,234,1,383.95,1,1,2,Normal
12734,353,1,110.39999999999999,1,1,1,Normal
12735,315,2,779.5699999999999,1,2,3,Normal
12736,333,1,234.0,1,1,1,Normal
12738,372,1,155.35,1,1,1,Normal
12739,78,2,1013.04,2,2,4,At risk
12740,64,1,427.6,3,1,2,Normal
12743,134,2,546.43,2,2,3,Normal
12744,52,7,9120.39,3,5,5,Loyal
12747,2,11,4196.01,5,5,5,Champion
12748,1,209,29072.100000000002,5,5,5,Champion
12749,4,5,3868.2000000000003,5,4,5,Champion
12750,129,1,275.88,2,1,2,Normal
12752,81,1,4366.78,2,1,5,Lost high value
12753,23,6,21024.01,4,5,5,Champion
12754,236,3,2949.12,1,3,5,At risk
12755,281,2,2203.2,1,2,5,At risk
12756,87,1,112.07999999999998,2,1,1,Normal
12757,16,13,4227.700000000001,4,5,5,Champion
12758,117,2,2791.59,2,2,5,At risk
12759,52,3,1531.44,3,3,4,Loyal
12762,8,2,1898.52,5,2,4,New customer
12763,138,2,494.08,2,2,3,Normal
12764,317,1,1693.88,1,1,4,Lost high value
12766,4,7,6989.63,5,5,5,Champion
12769,239,1,1143.6,1,1,4,Lost high value
12770,211,1,1351.45,1,1,4,Lost high value
12772,60,1,892.47,3,1,3,Normal
12775,17,5,1351.24,4,4,4,Champion
12778,20,6,804.23,4,5,3,Loyal
12779,38,8,3868.7000000000003,3,5,5,Loyal
12781,64,2,707.72,3,2,3,Normal
12782,5,5,2273.32,5,4,5,Champion
12783,2,6,1603.87,5,5,4,Champion
12784,9,2,574.42,5,2,3,New customer
12785,364,1,305.71,1,1,2,Normal
12787,10,3,463.66,5,3,2,Loyal
12789,65,1,91.85,3,1,1,Normal
12790,192,1,324.92,1,1,2,Normal
12791,374,1,192.60000000000002,1,1,1,Normal
12792,257,1,400.53999999999996,1,1,2,Normal
12793,335,2,545.48,1,2,3,Normal
12794,53,2,860.41,3,2,3,Normal
12795,19,1,430.48,4,1,2,New customer
12797,366,1,194.18,1,1,1,Normal
12798,10,3,6977.04,5,3,5,Loyal
12802,187,1,412.58,1,1,2,Normal
12808,37,3,483.65000000000003,3,3,3,Loyal
12809,178,1,484.36,2,1,3,Normal
12811,261,3,514.85,1,3,3,Normal
12812,45,1,229.64000000000001,3,1,1,Normal
12814,102,1,125.92,2,1,1,Normal
12815,148,2,1063.46,2,2,4,At risk
12816,96,2,572.2,2,2,3,Normal
12817,281,1,166.04,1,1,1,Normal
12818,262,1,1517.8799999999999,1,1,4,Lost high value
12820,3,4,942.34,5,4,4,Champion
12821,214,1,92.72,1,1,1,Normal
12822,71,2,918.98,3,2,4,Normal
12823,75,5,1759.5,2,4,4,At risk
12824,60,1,397.12,3,1,2,Normal
12826,3,7,1468.1200000000001,5,5,4,Champion
12827,6,3,430.15000000000003,5,3,2,Loyal
12828,3,6,1018.71,5,5,4,Champion
12829,337,2,253.05,1,2,2,Normal
12830,38,6,6748.400000000001,3,5,5,Loyal
12831,262,1,215.04999999999998,1,1,1,Normal
12832,32,2,383.03,4,2,2,New customer
12833,145,1,417.38,2,1,2,Normal
12834,283,1,312.38,1,1,2,Normal
12836,59,4,2612.86,3,4,5,Loyal
12837,173,1,134.1,2,1,1,Normal
12838,34,2,683.13,3,2,3,Normal
12839,3,14,5583.62,5,5,5,Champion
12840,144,4,2714.27,2,4,5,At risk
12841,5,25,3876.4,5,5,5,Champion
12842,70,2,1118.99,3,2,4,Normal
12843,66,8,1680.76,3,5,4,Loyal
12844,29,2,325.96000000000004,4,2,2,New customer
12845,267,4,354.09,1,4,2,Normal
12847,22,1,871.54,4,1,3,New customer
12849,31,2,1050.8899999999999,4,2,4,New customer
12851,97,1,135.18,2,1,1,Normal
12852,295,1,299.75,1,1,2,Normal
12853,135,6,1881.7,2,5,4,At risk
12854,79,3,1289.15,2,3,4,At risk
12855,373,1,38.1,1,1,1,Normal
12856,8,6,2162.68,5,5,5,Champion
12857,211,2,1106.4,1,2,4,At risk
12863,52,1,504.20000000000005,3,1,3,Normal
12864,138,1,147.12,2,1,1,Normal
12865,26,2,1548.07,4,2,4,New customer
12866,283,1,559.12,1,1,3,Normal
12867,26,7,3986.2200000000003,4,5,5,Champion
12868,186,6,1607.0600000000002,1,5,4,At risk
12871,84,2,380.64,2,2,2,Normal
12872,327,2,599.97,1,2,3,Normal
12873,282,1,374.0,1,1,2,Normal
12875,143,2,343.2300000000001,2,2,2,Normal
12876,58,2,2218.02,3,2,5,Normal
12877,4,12,1535.77,5,5,4,Champion
12878,236,2,841.64,1,2,3,Normal
12879,45,3,552.57,3,3,3,Loyal
12881,276,1,298.0,1,1,2,Normal
12882,9,2,1463.04,5,2,4,New customer
12883,25,4,703.47,4,4,3,Loyal
12884,88,1,309.05,2,1,2,Normal
12885,63,3,1158.27,3,3,4,Loyal
12886,68,2,1351.0900000000001,3,2,4,Normal
12888,214,2,313.77,1,2,2,Normal
12890,24,1,380.46999999999997,4,1,2,New customer
12891,186,3,331.0,1,3,2,Normal
12893,31,1,188.14,4,1,1,New customer
12895,42,2,347.3,3,2,2,Normal
12897,205,2,216.5,1,2,1,Normal
12901,9,28,16293.1,5,5,5,Champion
12902,265,1,138.68,1,1,1,Normal
12904,18,2,509.58,4,2,3,New customer
12906,12,5,2919.81,5,4,5,Champion
12908,176,2,246.0,2,2,2,Normal
12909,40,5,2128.83,3,4,5,Loyal
12910,23,8,3075.04,4,5,5,Champion
12912,3,5,1662.3,5,4,4,Champion
12913,5,5,2483.63,5,4,5,Champion
12915,149,2,363.65,2,2,2,Normal
12916,139,4,2982.35,2,4,5,At risk
12917,128,1,594.0,2,1,3,Normal
12919,8,6,1301.44,5,5,4,Champion
12920,17,1,164.23,4,1,1,New customer
12921,9,37,16389.74,5,5,5,Champion
12922,161,1,405.38,2,1,2,Normal
12923,64,1,176.97,3,1,1,Normal
12924,88,4,929.95,2,4,4,At risk
12925,5,2,694.05,5,2,3,New customer
12928,35,5,2062.7000000000003,3,4,5,Loyal
12929,312,1,105.1,1,1,1,Normal
12930,78,2,409.90000000000003,2,2,2,Normal
12931,22,15,33462.81,4,5,5,Champion
12933,24,3,606.28,4,3,3,Loyal
12935,2,7,2156.45,5,5,5,Champion
12936,17,4,1012.9000000000001,4,4,4,Champion
12937,15,4,1504.27,4,4,4,Champion
12938,26,1,114.14,4,1,1,New customer
12939,64,8,11581.8,3,5,5,Loyal
12940,55,2,876.29,3,2,3,Normal
12942,131,3,683.9,2,3,3,Normal
12944,36,2,604.51,3,2,3,Normal
12945,288,1,462.95,1,1,2,Normal
12947,144,6,1407.29,2,5,4,At risk
12948,16,7,2053.7,4,5,5,Champion
12949,31,8,4143.02,4,5,5,Champion
12950,2,3,1843.0,5,3,4,Loyal
12951,9,6,1042.07,5,5,4,Champion
12952,6,4,1382.84,5,4,4,Champion
12953,10,1,329.85,5,1,2,New customer
12955,1,11,4734.26,5,5,5,Champion
12956,306,1,108.07,1,1,1,Normal
12957,10,8,3979.04,5,5,5,Champion
12962,7,2,266.39,5,2,2,New customer
12963,8,8,1841.0300000000002,5,5,4,Champion
12965,89,1,771.91,2,1,3,Normal
12966,10,1,160.18,5,1,1,New customer
12967,358,2,1194.75,1,2,4,At risk
12968,112,1,135.95,2,1,1,Normal
12970,7,4,452.24,5,4,2,Loyal
12971,4,86,10930.26,5,5,5,Champion
12974,198,1,144.8,1,1,1,Normal
12976,212,1,738.6,1,1,3,Normal
12977,156,1,39.24,2,1,1,Normal
12980,158,9,7092.06,2,5,5,At risk
12981,30,2,372.21999999999997,4,2,2,New customer
12982,243,1,377.20000000000005,1,1,2,Normal
12984,19,1,97.5,4,1,1,New customer
12985,1,2,1215.6200000000001,5,2,4,New customer
12987,74,2,545.0,2,2,3,Normal
12988,292,1,535.32,1,1,3,Normal
12989,3,15,6854.509999999999,5,5,5,Champion
12990,31,3,409.5,4,3,2,Loyal
12991,23,2,503.76,4,2,3,New customer
12993,23,4,414.76,4,4,2,Loyal
12994,4,3,902.22,5,3,3,Loyal
12995,85,1,200.72,2,1,1,Normal
12997,22,4,1197.94,4,4,4,Champion
12999,196,3,455.88,1,3,2,Normal
13000,107,3,534.85,2,3,3,Normal
13001,4,13,9797.92,5,5,5,Champion
13002,318,1,120.94999999999999,1,1,1,Normal
13003,106,3,149.05,2,3,1,Normal
13004,12,18,5613.43,5,5,5,Champion
13005,174,2,468.95000000000005,2,2,2,Normal
13006,56,1,81.57,3,1,1,Normal
13008,323,1,178.46999999999997,1,1,1,Normal
13011,372,1,50.550000000000004,1,1,1,Normal
13012,9,8,1311.6200000000001,5,5,4,Champion
13013,1,13,4786.990000000001,5,5,5,Champion
13014,11,10,3365.43,5,5,5,Champion
13015,53,5,3346.28,3,4,5,Loyal
13016,73,3,789.89,2,3,3,Normal
13017,7,1,204.0,5,1,1,New customer
13018,16,28,7272.75,4,5,5,Champion
13021,4,9,2584.4,5,5,5,Champion
13023,64,2,689.9,3,2,3,Normal
13026,1,5,936.15,5,4,4,Champion
13027,114,6,6912.0,2,5,5,At risk
13028,23,2,659.68,4,2,3,New customer
13029,31,3,1247.5,4,3,4,Loyal
13030,11,2,799.48,5,2,3,New customer
13032,52,2,996.52,3,2,4,Normal
13033,357,1,190.55,1,1,1,Normal
13034,55,2,642.77,3,2,3,Normal
13035,74,2,886.63,2,2,3,Normal
13037,138,3,881.07,2,3,3,Normal
13038,80,3,908.46,2,3,3,Normal
13040,9,2,676.99,5,2,3,New customer
13043,273,1,471.56999999999994,1,1,2,Normal
13044,291,1,560.47,1,1,3,Normal
13045,99,1,305.28000000000003,2,1,2,Normal
13046,31,2,629.31,4,2,3,New customer
13047,32,10,3079.1,4,5,5,Champion
13048,14,4,1805.91,4,4,4,Champion
13049,64,2,656.68,3,2,3,Normal
13050,15,17,5684.61,4,5,5,Champion
13052,212,1,348.15,1,1,2,Normal
13055,78,3,1201.96,2,3,4,At risk
13058,25,3,271.4,4,3,2,Loyal
13059,250,1,183.4,1,1,1,Normal
13060,254,1,307.53,1,1,2,Normal
13061,72,1,248.61,3,1,2,Normal
13062,191,1,346.97999999999996,1,1,2,Normal
13064,13,4,1119.49,5,4,4,Champion
13065,373,1,205.86,1,1,1,Normal
13066,24,2,430.90000000000003,4,2,2,New customer
13067,82,1,115.46000000000001,2,1,1,Normal
13068,10,2,344.0,5,2,2,New customer
13069,1,24,3717.8199999999997,5,5,5,Champion
13070,192,1,228.8,1,1,1,Normal
13072,267,1,177.15,1,1,1,Normal
13075,130,1,919.61,2,1,4,Lost high value
13077,1,4,729.27,5,4,3,Loyal
13078,3,26,12432.28,5,5,5,Champion
13079,4,5,220.10000000000002,5,4,1,Loyal
13080,179,1,58.08,2,1,1,Normal
13081,12,11,27964.48,5,5,5,Champion
13082,126,9,3595.48,2,5,5,At risk
13083,4,2,303.75,5,2,2,New customer
13085,158,2,272.38000000000005,2,2,2,Normal
13089,3,97,57385.880000000005,5,5,5,Champion
13090,9,14,8689.39,5,5,5,Champion
13091,28,1,319.82,4,1,2,New customer
13092,71,5,459.83,3,4,2,Loyal
13093,276,8,7741.47,1,5,5,At risk
13094,21,12,1708.8600000000001,4,5,4,Champion
13095,71,1,74.39999999999999,3,1,1,Normal
13097,33,10,5893.32,4,5,5,Champion
13098,1,28,28658.879999999997,5,5,5,Champion
13099,99,1,207.35999999999999,2,1,1,Normal
13101,234,1,101.19,1,1,1,Normal
13102,1,24,6336.29,5,5,5,Champion
13103,40,1,243.94,3,1,2,Normal
13104,3,6,1098.48,5,5,4,Champion
13106,133,1,59.5,2,1,1,Normal
13107,44,4,1524.07,3,4,4,Loyal
13108,373,1,350.06,1,1,2,Normal
13109,60,2,766.8399999999999,3,2,3,Normal
13110,31,7,1452.8700000000001,4,5,4,Champion
13113,1,24,10510.0,5,5,5,Champion
13115,12,4,2205.63,5,4,5,Champion
13116,138,1,485.19,2,1,3,Normal
13117,22,8,984.91,4,5,4,Champion
13118,20,5,1125.0,4,4,4,Champion
13120,239,1,30.599999999999998,1,1,1,Normal
13121,269,1,254.73000000000002,1,1,2,Normal
13122,94,2,922.39,2,2,4,At risk
13124,90,3,3866.33,2,3,5,At risk
13126,5,8,2056.29,5,5,5,Champion
13127,78,1,259.17,2,1,2,Normal
13130,94,1,64.0,2,1,1,Normal
13131,23,3,1039.3,4,3,4,Loyal
13132,262,1,77.3,1,1,1,Normal
13133,274,2,109.8,1,2,1,Normal
13134,86,4,1740.6299999999999,2,4,4,At risk
13135,197,1,3096.0,1,1,5,Lost high value
13136,56,5,2545.38,3,4,5,Loyal
13137,11,8,3605.08,5,5,5,Champion
13138,22,6,962.39,4,5,4,Champion
13139,16,7,5055.79,4,5,5,Champion
13140,108,3,423.72,2,3,2,Normal
13141,85,5,2385.8,2,4,5,At risk
13142,19,1,307.09,4,1,2,New customer
13144,333,1,110.95,1,1,1,Normal
13145,40,4,614.77,3,4,3,Loyal
13146,26,1,228.91,4,1,1,New customer
13147,10,4,712.8000000000001,5,4,3,Loyal
13148,29,12,3348.48,4,5,5,Champion
13149,14,4,1676.06,4,4,4,Champion
13151,296,1,1250.3700000000001,1,1,4,Lost high value
13153,6,1,486.22,5,1,3,New customer
13155,33,4,971.76,3,4,4,Loyal
13157,49,4,1721.57,3,4,4,Loyal
13158,95,4,1201.06,2,4,4,At risk
13159,9,4,1379.75,5,4,4,Champion
13160,22,1,91.8,4,1,1,New customer
13161,313,1,112.75,1,1,1,Normal
13162,122,4,1644.99,2,4,4,At risk
13165,46,2,1021.48,3,2,4,Normal
13166,283,1,414.7,1,1,2,Normal
13167,19,4,791.33,4,4,3,Loyal
