CustomerID,Seg,Recency,Frequency,Monetary
12507,At risk,134,3,1258.06
13848,At risk,92,3,1255.0
17037,At risk,88,1,1253.22
17802,At risk,82,3,1251.84
17588,At risk,100,3,1240.2
13931,At risk,96,2,1230.93
12412,At risk,75,3,1226.88
17774,At risk,97,4,1215.46
15841,At risk,73,4,1209.1
13055,At risk,78,3,1201.96
13158,At risk,95,4,1201.06
17320,At risk,100,3,1200.6200000000001
12967,At risk,358,2,1194.75
13752,At risk,124,6,1186.28
17058,At risk,82,3,1179.89
14745,At risk,113,5,1167.16
13611,At risk,89,3,1158.2
13744,At risk,95,2,1156.36
17505,At risk,162,2,1145.84
16766,At risk,273,2,1145.6
15810,At risk,79,4,1145.43
17770,At risk,199,5,1143.27
16270,At risk,353,1,1141.24
13330,At risk,93,3,1140.93
13819,At risk,302,3,1140.35
16172,At risk,95,5,1140.21
17242,At risk,108,2,1135.04
18168,At risk,176,6,1133.64
17585,At risk,109,4,1133.07
12710,At risk,97,3,1130.57
12609,At risk,78,3,1126.85
13486,At risk,78,3,1122.41
16807,At risk,143,3,1121.59
17894,At risk,72,8,1119.81
15716,At risk,146,4,1118.81
17788,At risk,74,2,1117.9
14161,At risk,216,3,1110.52
14817,At risk,200,2,1110.34
12399,At risk,119,4,1108.65
12857,At risk,211,2,1106.4
17047,At risk,85,3,1100.9
15978,At risk,77,1,1098.78
13476,At risk,179,2,1092.77
18189,At risk,78,2,1084.34
14561,At risk,76,3,1080.76
14352,At risk,157,4,1078.96
16980,At risk,255,2,1078.96
17277,At risk,228,2,1065.35
12815,At risk,148,2,1063.46
16214,At risk,171,3,1062.75
14465,At risk,247,3,1058.62
13715,At risk,281,5,1053.9399999999998
14224,At risk,110,4,1050.12
14078,At risk,102,6,1049.37
13791,At risk,128,2,1047.68
15996,At risk,88,6,1044.78
15192,At risk,120,3,1044.32
16320,At risk,172,2,1038.46
16175,At risk,94,4,1037.59
15985,At risk,123,2,1037.42
16520,At risk,186,3,1036.62
13253,At risk,157,2,1030.3999999999999
17033,At risk,86,3,1030.1399999999999
14584,At risk,169,4,1029.26
15777,At risk,241,4,1021.6099999999999
14346,At risk,121,2,1021.58
13376,At risk,99,3,1019.76
14276,At risk,99,3,1019.39
18142,At risk,157,2,1014.9
12739,At risk,78,2,1013.04
16229,At risk,87,2,1010.6
16174,At risk,126,3,1009.55
15104,At risk,197,2,1002.5400000000001
12545,At risk,75,2,1000.39
15508,At risk,189,6,1000.27
18143,At risk,117,2,1000.16
16572,At risk,127,3,999.7
17646,At risk,219,3,995.6600000000001
17594,At risk,85,2,993.18
17126,At risk,152,5,991.85
12510,At risk,143,2,982.5699999999999
15133,At risk,128,3,982.42
15071,At risk,94,2,982.07
12717,At risk,151,2,980.98
14920,At risk,213,2,977.77
14223,At risk,92,3,975.23
14195,At risk,202,2,962.7
14006,At risk,116,3,962.19
16419,At risk,113,6,959.48
15658,At risk,190,5,958.8999999999999
18192,At risk,72,1,957.97
13748,At risk,96,5,948.25
13261,At risk,269,2,944.1
14256,At risk,260,2,935.0600000000001
13655,At risk,114,2,932.97
14532,At risk,236,4,932.85
12924,At risk,88,4,929.95
15201,At risk,87,5,927.8399999999999
13122,At risk,94,2,922.39
16551,At risk,96,3,922.12
15312,At risk,75,4,921.1
14646,Champion,2,73,279489.02
18102,Champion,1,60,256438.49
17450,Champion,8,46,187482.17
14911,Champion,1,201,132572.62
12415,Champion,24,21,123725.45
14156,Champion,10,55,113384.14
17511,Champion,3,31,88125.38
16684,Champion,4,28,65892.08
13694,Champion,4,50,62653.100000000006
15311,Champion,1,91,59419.340000000004
13089,Champion,3,97,57385.880000000005
14096,Champion,4,17,57120.91
15061,Champion,4,48,54228.74
17949,Champion,1,45,52750.840000000004
15769,Champion,7,26,51823.72
14298,Champion,8,44,50862.44
14088,Champion,10,13,50415.49
17841,Champion,2,124,40340.78
13798,Champion,1,57,36351.42
16422,Champion,17,51,33805.69
12931,Champion,22,15,33462.81
16013,Champion,4,47,33366.25
15838,Champion,11,19,33350.76
17389,Champion,1,34,31300.08
17404,Champion,4,15,30300.82
12748,Champion,1,209,29072.100000000002
13098,Champion,1,28,28658.879999999997
13081,Champion,12,11,27964.48
13408,Champion,2,62,27487.41
14680,Champion,25,16,26932.34
17857,Champion,4,23,26763.34
16333,Champion,8,22,26626.8
13777,Champion,1,33,25748.35
16210,Champion,2,18,21086.3
12753,Champion,23,6,21024.01
17381,Champion,9,29,20272.43
17675,Champion,1,31,20098.1
15039,Champion,10,47,19786.44
12731,Champion,24,12,18793.41
12471,Champion,2,30,18740.92
15159,Champion,2,30,18573.68
17428,Champion,1,28,17078.449999999997
13881,Champion,4,20,16989.52
13767,Champion,2,37,16945.71
12921,Champion,9,37,16389.74
12901,Champion,9,28,16293.1
17677,Champion,2,30,16219.22
15856,Champion,4,27,16173.67
15189,Champion,1,41,15802.14
14051,Champion,1,23,15477.340000000002
16839,Champion,9,34,15357.779999999999
14031,Champion,7,19,14634.640000000001
16133,Champion,4,33,14305.660000000002
14866,Champion,11,12,14197.449999999999
16705,Champion,1,20,13946.13
12681,Champion,15,22,13677.59
12621,Champion,2,20,13612.07
12433,Champion,1,7,13375.87
12540,Champion,20,17,13309.039999999999
12477,Champion,23,6,13117.01
17735,Champion,2,19,13110.02
14258,Champion,9,9,12650.08
15640,Champion,4,15,12433.34
13078,Champion,3,26,12432.28
15498,Champion,3,27,12396.46
16000,Champion,3,3,12393.7
12682,Champion,4,31,12288.22
12557,Champion,16,5,11990.960000000001
16525,Champion,2,26,11895.57
17340,Champion,30,11,11891.18
14606,Champion,1,93,11713.85
14607,Champion,16,14,11341.1
14194,Champion,5,21,11216.75
15125,Champion,25,15,11117.05
14895,Champion,8,20,11020.26
12971,Champion,4,86,10930.26
17581,Champion,1,25,10736.11
13319,Champion,5,26,10664.340000000002
14769,Champion,3,8,10641.6
17139,Champion,16,12,10585.57
13113,Champion,1,24,10510.0
14062,Champion,10,12,10464.85
16779,Champion,2,22,10454.05
15615,Champion,10,23,10360.039999999999
15251,Champion,9,11,10327.11
17865,Champion,31,20,10158.539999999999
17706,Champion,4,17,10097.369999999999
13199,Champion,4,38,9803.960000000001
13001,Champion,4,13,9797.92
15078,Champion,7,32,9623.35
13458,Champion,7,14,9537.92
14733,Champion,16,12,9451.539999999999
16523,Champion,2,21,9295.670000000002
12709,Champion,15,15,9294.1
14667,Champion,11,25,9231.2
14367,Champion,8,16,9167.82
12567,Champion,23,10,9114.94
18092,Champion,2,11,9065.76
13969,Champion,7,18,8986.69
12451,Champion,11,5,8933.52
13488,Champion,17,13,8910.609999999999
16033,Champion,6,20,8727.609999999999
13090,Champion,9,14,8689.39
17243,Champion,1,26,8628.550000000001
17306,Champion,11,19,8600.73
17017,Champion,3,20,8574.11
16656,Champion,22,15,8568.24
18139,Champion,18,6,8393.22
16558,Champion,1,20,8257.039999999999
15358,Champion,5,22,8234.800000000001
12683,Champion,4,15,8221.09
14056,Champion,1,23,8124.4
16672,Champion,2,20,8093.589999999999
13854,Champion,9,25,8025.0199999999995
18109,Champion,2,26,7925.320000000001
14849,Champion,22,25,7904.28
12428,Champion,26,9,7877.2
14796,Champion,1,17,7839.51
15290,Champion,5,18,7803.77
13629,Champion,23,11,7792.36
14527,Champion,3,55,7711.379999999999
17811,Champion,4,39,7677.71
15044,Champion,19,17,7629.38
15194,Champion,3,15,7521.17
18172,Champion,15,20,7490.17
13263,Champion,1,35,7454.07
18229,Champion,12,20,7276.9
13018,Champion,16,28,7272.75
12583,Champion,3,15,7187.34
12474,Champion,17,18,7116.47
16873,Champion,5,6,7066.3099999999995
13985,Champion,4,15,7024.53
14961,Champion,11,9,7006.58
12766,Champion,4,7,6989.63
15465,Champion,20,18,6945.0199999999995
12989,Champion,3,15,6854.509999999999
16187,Champion,32,15,6841.240000000001
16713,Champion,19,15,6840.2300000000005
17416,Champion,30,7,6838.34
12705,Champion,15,9,6814.24
15023,Champion,3,11,6763.16
18055,Champion,7,10,6752.14
16532,Champion,18,3,6748.8
15601,Champion,11,14,6745.360000000001
13576,Champion,10,18,6703.3
16746,Champion,5,18,6694.3099999999995
16353,Champion,4,23,6675.71
16923,Champion,12,19,6666.83
15249,Champion,32,13,6657.36
17338,Champion,17,8,6612.18
15482,Champion,16,12,6568.719999999999
12476,Champion,16,11,6546.58
15144,Champion,8,17,6530.04
16814,Champion,14,21,6500.6
15694,Champion,1,14,6423.599999999999
13871,Champion,23,13,6389.8
12626,Champion,23,9,6388.349999999999
13102,Champion,1,24,6336.29
18223,Champion,5,14,6315.23
16126,Champion,29,4,6287.77
13709,Champion,4,13,6249.110000000001
12472,Champion,32,7,6229.48
13668,Champion,3,21,6216.07
17315,Champion,2,38,6204.46
15005,Champion,16,28,6180.49
14057,Champion,24,17,6147.4
14060,Champion,5,19,6135.38
13225,Champion,3,7,6083.04
15382,Champion,15,6,5927.86
13097,Champion,33,10,5893.32
13418,Champion,12,18,5845.4400000000005
14944,Champion,30,12,5842.95
13209,Champion,30,8,5820.16
14505,Champion,17,8,5818.700000000001
14415,Champion,1,13,5811.5599999999995
14735,Champion,4,32,5807.6900000000005
15218,Champion,11,11,5756.89
17686,Champion,7,7,5739.46
13178,Champion,26,11,5725.47
12720,Champion,3,25,5713.28
13050,Champion,15,17,5684.61
14110,Champion,4,12,5669.65
13468,Champion,2,37,5656.75
14049,Champion,17,4,5639.150000000001
13004,Champion,12,18,5613.43
13534,Champion,2,25,5613.08
18118,Champion,11,26,5595.7699999999995
17049,Champion,3,9,5594.780000000001
12481,Champion,23,10,5590.86
17757,Champion,1,30,5585.49
12839,Champion,3,14,5583.62
16767,Champion,31,11,5580.6
15502,Champion,16,12,5541.460000000001
17716,Champion,23,11,5505.79
16985,Champion,17,10,5461.62
15805,Champion,23,17,5452.17
16609,Champion,15,7,5450.96
16265,Champion,9,9,5423.15
12490,Champion,5,10,5417.93
18225,Champion,3,12,5361.0199999999995
16161,Champion,2,19,5352.97
13269,Champion,1,15,5315.92
16303,Champion,26,3,5305.83
15150,Champion,17,10,5303.97
17730,Champion,3,13,5288.830000000001
15727,Champion,17,7,5178.96
17858,Champion,6,12,5155.66
12362,Champion,3,10,5154.58
16701,Champion,9,13,5150.27
13756,Champion,2,14,5145.120000000001
15903,Champion,10,7,5126.34
14688,Champion,8,21,5107.38
18198,Champion,4,17,5083.06
15046,Champion,9,15,5064.009999999999
13139,Champion,16,7,5055.79
17602,Champion,2,6,5050.77
16700,Champion,9,13,5040.0
13599,Champion,1,21,5030.6
17426,Champion,8,6,5022.26
12444,Champion,21,5,5005.46
14755,Champion,10,11,4965.38
15547,Champion,7,14,4954.84
14329,Champion,17,7,4928.74
16191,Champion,3,13,4913.320000000001
13941,Champion,22,5,4912.41
14709,Champion,15,13,4911.14
12437,Champion,2,18,4896.66
17133,Champion,16,7,4892.24
12700,Champion,8,4,4867.99
12664,Champion,8,9,4863.88
14292,Champion,8,9,4819.33
17365,Champion,13,8,4801.56
15738,Champion,19,16,4788.77
13013,Champion,1,13,4786.990000000001
15555,Champion,12,16,4758.2
17690,Champion,30,15,4748.45
17652,Champion,25,12,4737.13
12955,Champion,1,11,4734.26
16722,Champion,17,13,4711.21
14562,Champion,4,18,4709.22
12714,Champion,9,5,4708.86
14135,Champion,2,15,4690.31
15152,Champion,10,13,4684.240000000001
14159,Champion,20,11,4678.3
15187,Champion,2,16,4670.08
14191,Champion,2,13,4660.01
14180,Champion,11,25,4640.77
17809,Champion,16,12,4627.62
14189,Champion,2,15,4604.3099999999995
16931,Champion,5,21,4604.22
15291,Champion,26,15,4596.51
14390,Champion,10,9,4592.469999999999
17068,Champion,12,21,4531.34
17613,Champion,23,14,4509.370000000001
12484,Champion,33,6,4495.27
12524,Champion,9,8,4485.72
12627,Champion,11,7,4478.53
17364,Champion,1,11,4455.7300000000005
14085,Champion,2,18,4435.79
15093,Champion,18,6,4410.14
13267,Champion,3,19,4404.44
17975,Champion,15,13,4393.610000000001
15955,Champion,24,14,4389.81
16626,Champion,1,17,4379.650000000001
16945,Champion,22,19,4345.5
12347,Champion,2,7,4310.0
17937,Champion,9,7,4301.22
15034,Champion,16,8,4277.66
14422,Champion,1,6,4263.64
12712,Champion,29,13,4241.63
12757,Champion,16,13,4227.700000000001
14525,Champion,20,9,4221.37
12500,Champion,23,11,4206.2699999999995
17920,Champion,4,17,4204.1
17419,Champion,11,12,4200.969999999999
15971,Champion,18,12,4199.85
12747,Champion,2,11,4196.01
18041,Champion,12,21,4161.14
16549,Champion,10,10,4154.64
12949,Champion,31,8,4143.02
13384,Champion,31,7,4122.280000000001
15570,Champion,7,12,4109.97
13988,Champion,20,6,4098.8
14534,Champion,3,18,4075.3500000000004
16592,Champion,4,16,4073.28
12449,Champion,22,4,4067.29
12569,Champion,2,32,4064.99
14092,Champion,8,14,4063.1
16401,Champion,1,12,4061.24
14401,Champion,4,13,4039.98
16670,Champion,17,11,4022.46
13815,Champion,22,4,4014.9100000000003
17567,Champion,7,8,4012.5599999999995
16186,Champion,23,12,3991.94
17001,Champion,1,11,3989.57
14547,Champion,4,8,3986.74
12867,Champion,26,7,3986.2200000000003
12656,Champion,17,5,3982.7200000000003
12957,Champion,10,8,3979.04
15529,Champion,23,11,3967.78
17769,Champion,13,10,3960.63
13183,Champion,8,9,3957.78
17611,Champion,7,15,3947.87
12727,Champion,11,7,3947.7
17377,Champion,24,20,3925.92
14426,Champion,24,10,3918.9
17593,Champion,4,5,3911.56
14739,Champion,4,7,3899.1000000000004
17651,Champion,12,10,3886.67
12841,Champion,5,25,3876.4
14291,Champion,2,11,3873.3
12749,Champion,4,5,3868.2000000000003
13999,Champion,10,12,3865.2599999999998
12539,Champion,22,4,3852.5000000000005
15804,Champion,1,13,3848.55
16327,Champion,14,6,3844.22
12662,Champion,1,11,3817.0800000000004
17091,Champion,3,9,3802.8100000000004
15867,Champion,5,15,3797.79
16655,Champion,18,6,3794.52
13435,Champion,5,7,3794.49
12562,Champion,8,7,3781.7400000000002
15298,Champion,2,12,3774.0999999999995
16168,Champion,11,27,3770.6
17173,Champion,5,8,3755.65
16904,Champion,4,16,3754.27
12429,Champion,9,4,3750.4
17238,Champion,3,17,3744.65
12668,Champion,12,4,3743.1800000000003
16145,Champion,9,11,3741.98
14282,Champion,3,15,3729.34
13069,Champion,1,24,3717.8199999999997
13266,Champion,11,12,3717.6699999999996
12597,Champion,19,4,3683.1299999999997
12647,Champion,22,12,3669.92
12553,Champion,8,10,3652.25
15845,Champion,18,8,3650.87
16712,Champion,9,11,3645.43
16440,Champion,8,5,3640.67
13381,Champion,32,6,3626.81
16570,Champion,15,10,3622.9500000000003
13137,Champion,11,8,3605.08
16242,Champion,8,7,3598.26
14132,Champion,2,11,3580.1299999999997
12417,Champion,3,9,3578.7999999999997
15484,Champion,1,4,3563.11
13426,Champion,1,10,3550.7000000000003
14503,Champion,3,6,3543.26
15544,Champion,9,9,3542.51
17491,Champion,1,10,3541.92
17528,Champion,1,8,3540.1
17160,Champion,31,6,3518.03
13953,Champion,7,7,3515.68
16458,Champion,3,18,3482.7400000000002
14907,Champion,3,7,3478.85
14395,Champion,2,9,3471.91
13448,Champion,17,6,3465.67
17576,Champion,8,19,3457.7799999999997
17758,Champion,19,8,3456.7
13536,Champion,1,7,3448.29
16360,Champion,5,6,3411.69
15981,Champion,25,8,3408.48
13437,Champion,14,7,3408.06
13198,Champion,10,6,3384.09
17725,Champion,16,11,3371.13
13014,Champion,11,10,3365.43
16011,Champion,8,16,3362.71
13148,Champion,29,12,3348.48
16818,Champion,11,11,3317.9700000000003
14227,Champion,26,10,3315.71
17183,Champion,8,6,3286.91
12480,Champion,28,4,3281.63
16717,Champion,24,6,3278.36
14702,Champion,1,17,3250.64
13880,Champion,21,13,3219.77
12619,Champion,16,9,3214.81
15443,Champion,2,7,3212.16
16107,Champion,18,7,3204.1600000000003
17220,Champion,24,14,3198.25
17685,Champion,17,7,3191.53
13758,Champion,12,7,3190.55
14388,Champion,10,8,3172.04
16837,Champion,31,11,3167.73
13268,Champion,18,11,3167.64
16041,Champion,31,3,3166.4
15632,Champion,16,8,3147.31
17231,Champion,12,10,3127.82
13685,Champion,3,7,3119.44
13742,Champion,17,12,3102.42
17059,Champion,30,5,3095.04
14099,Champion,16,11,3092.9700000000003
16326,Champion,6,14,3085.96
13362,Champion,9,4,3085.4900000000002
16905,Champion,5,7,3085.48
13047,Champion,32,10,3079.1
12910,Champion,23,8,3075.04
18272,Champion,3,6,3064.7799999999997
16218,Champion,30,7,3054.87
14456,Champion,5,9,3047.63
16607,Champion,18,14,3038.67
17799,Champion,22,10,3026.08
16156,Champion,9,9,3024.62
16678,Champion,3,12,3013.83
12598,Champion,10,8,3002.68
15861,Champion,12,8,3000.36
12395,Champion,19,12,2998.28
12670,Champion,10,5,2986.1499999999996
15687,Champion,9,9,2981.5
15854,Champion,4,12,2974.65
15514,Champion,12,11,2963.1899999999996
17659,Champion,17,12,2954.75
14146,Champion,9,5,2949.5699999999997
16393,Champion,2,13,2941.05
14868,Champion,3,8,2939.6400000000003
14032,Champion,2,11,2929.84
14530,Champion,26,6,2925.91
17512,Champion,29,10,2920.0400000000004
12906,Champion,12,5,2919.81
13451,Champion,26,5,2916.4500000000003
14543,Champion,29,16,2916.17
17924,Champion,12,7,2894.33
18144,Champion,8,12,2888.75
14251,Champion,2,5,2879.7
16633,Champion,17,6,2878.15
14005,Champion,10,5,2874.72
15628,Champion,5,9,2865.6400000000003
12685,Champion,28,6,2863.08
18145,Champion,13,4,2861.55
14299,Champion,8,9,2855.35
12473,Champion,29,5,2848.23
12408,Champion,33,5,2842.57
14711,Champion,10,11,2838.2000000000003
17596,Champion,23,7,2827.93
15984,Champion,3,10,2816.9700000000003
14572,Champion,3,7,2803.69
17739,Champion,12,7,2786.0499999999997
12388,Champion,16,6,2780.66
14112,Champion,23,7,2774.17
13769,Champion,2,10,2771.8700000000003
17644,Champion,1,11,2768.98
15356,Champion,31,10,2766.5
13735,Champion,25,4,2766.1800000000003
13230,Champion,4,14,2763.41
16871,Champion,22,6,2761.4900000000002
15114,Champion,30,10,2760.56
16764,Champion,4,13,2758.25
14626,Champion,24,4,2757.07
15993,Champion,9,7,2756.82
13870,Champion,2,8,2751.25
14903,Champion,21,5,2744.48
14121,Champion,4,4,2740.3
16003,Champion,30,5,2735.37
12380,Champion,22,4,2720.56
18230,Champion,9,7,2716.6000000000004
13285,Champion,23,4,2709.12
13971,Champion,19,8,2702.2200000000003
18097,Champion,8,6,2692.8500000000004
17386,Champion,8,6,2686.42
14732,Champion,8,8,2686.34
15796,Champion,1,8,2666.61
14713,Champion,9,11,2664.26
17069,Champion,28,9,2655.22
13804,Champion,31,7,2635.79
15671,Champion,19,7,2635.4900000000002
17402,Champion,5,13,2633.85
18077,Champion,8,11,2633.0099999999998
16618,Champion,31,5,2630.6400000000003
12721,Champion,32,6,2628.98
18210,Champion,2,6,2621.38
14262,Champion,8,8,2618.23
12708,Champion,30,10,2616.3199999999997
17346,Champion,4,15,2611.58
16255,Champion,17,8,2609.2999999999997
12726,Champion,28,7,2609.1
16241,Champion,10,13,2607.87
14408,Champion,11,7,2606.53
13644,Champion,16,4,2597.5200000000004
15782,Champion,10,3,2593.94
13983,Champion,30,12,2590.46
13895,Champion,28,4,2588.1200000000003
13021,Champion,4,9,2584.4
12600,Champion,29,10,2581.04
17655,Champion,11,7,2571.7400000000002
15033,Champion,5,10,2571.02
14397,Champion,3,19,2556.68
15572,Champion,5,7,2552.86
14676,Champion,31,6,2543.2400000000002
14334,Champion,17,8,2539.46
13883,Champion,11,5,2538.75
18075,Champion,23,10,2538.72
14243,Champion,9,10,2535.88
13471,Champion,1,4,2531.58
16912,Champion,29,11,2528.67
17728,Champion,4,3,2515.6800000000003
17314,Champion,25,8,2514.76
17700,Champion,17,4,2508.89
18245,Champion,7,7,2507.56
17449,Champion,2,7,2504.86
13695,Champion,31,15,2504.13
13975,Champion,31,6,2503.23
14546,Champion,5,5,2487.02
14701,Champion,11,9,2486.22
15271,Champion,7,15,2485.82
12913,Champion,5,5,2483.63
16710,Champion,19,10,2483.04
13507,Champion,3,4,2479.16
12517,Champion,28,5,2464.8900000000003
17131,Champion,5,5,2463.17
13784,Champion,10,11,2462.79
15932,Champion,4,8,2461.85
17682,Champion,10,6,2459.33
14659,Champion,9,9,2456.5299999999997
15750,Champion,3,8,2451.23
13588,Champion,16,9,2445.12
13949,Champion,3,6,2427.32
14766,Champion,8,6,2423.0699999999997
13658,Champion,10,5,2421.4700000000003
15089,Champion,10,6,2420.84
16143,Champion,3,6,2419.84
17071,Champion,28,9,2385.48
17530,Champion,1,10,2385.0
14554,Champion,10,4,2381.04
18065,Champion,6,14,2380.08
14493,Champion,7,5,2362.84
14030,Champion,18,8,2360.09
14440,Champion,8,5,2357.6800000000003
14502,Champion,20,11,2351.02
15527,Champion,19,8,2348.82
18259,Champion,25,3,2338.6000000000004
17434,Champion,2,7,2333.42
12483,Champion,17,8,2327.13
